year,month,res_pop
1998,1,274365422
1998,2,274576611
1998,3,274783484
1998,4,275040082
1998,5,275300524
1998,6,275572587
1998,7,275854104
1998,8,276158376
1998,9,276454945
1998,10,276745629
1998,11,277020504
1998,12,277269404
1999,1,277533535
1999,2,277735449
1999,3,277941748
1999,4,278195745
1999,5,278461681
1999,6,278746150
1999,7,279040168
1999,8,279348204
1999,9,279652083
1999,10,279952033
1999,11,280220702
1999,12,280466621
2000,1,280726081
2000,2,280939327
2000,3,281158341
2000,4,281421906
2000,5,281643089
2000,6,281887481
2000,7,282162411
2000,8,282422213
2000,9,282693284
2000,10,282957962
2000,11,283197152
2000,12,283437649
2001,1,283647024
2001,2,283841797
2001,3,284047071
2001,4,284269299
2001,5,284487152
2001,6,284728443
2001,7,284968955
2001,8,285224368
2001,9,285493771
2001,10,285689399
2001,11,285921072
2001,12,286138973
2002,1,286340637
2002,2,286542998
2002,3,286723459
2002,4,286929463
2002,5,287151632
2002,6,287393588
2002,7,287625193
2002,8,287870555
2002,9,288129987
2002,10,288379244
2002,11,288610754
2002,12,288804655
2003,1,288998781
2003,2,289132739
2003,3,289258694
2003,4,289400188
2003,5,289554820
2003,6,289819527
2003,7,290107933
2003,8,290391551
2003,9,290656476
2003,10,290916101
2003,11,291160038
2003,12,291364214
2004,1,291553190
2004,2,291716878
2004,3,291888226
2004,4,292108553
2004,5,292350184
2004,6,292571704
2004,7,292805298
2004,8,293057495
2004,9,293309033
2004,10,293573356
2004,11,293801454
2004,12,294015263
2005,1,294230649
2005,2,294380349
2005,3,294558690
2005,4,294784353
2005,5,295030999
2005,6,295262724
2005,7,295516599
2005,8,295771752
2005,9,296040189
2005,10,296306871
2005,11,296514546
2005,12,296762293
2006,1,296987570
2006,2,297219147
2006,3,297423035
2006,4,297649663
2006,5,297869406
2006,6,298118142
2006,7,298379912
2006,8,298630579
2006,9,298908360
2006,10,299159981
2006,11,299395746
2006,12,299658194
2007,1,299890446
2007,2,300095558
2007,3,300288381
2007,4,300511531
2007,5,300728176
2007,6,300968228
2007,7,301231207
2007,8,301500377
2007,9,301772224
2007,10,302026271
2007,11,302287110
2007,12,302533358
2008,1,302754346
2008,2,302966260
2008,3,303185074
2008,4,303381938
2008,5,303616954
2008,6,303847001
2008,7,304093966
2008,8,304357665
2008,9,304614210
2008,10,304858602
2008,11,305093832
2008,12,305298802
2009,1,305519874
2009,2,305714782
2009,3,305920351
2009,4,306112520
2009,5,306321829
2009,6,306541114
2009,7,306771529
2009,8,307007040
2009,9,307267930
2009,10,307518237
2009,11,307757459
2009,12,307954399
2010,1,308169976
2010,2,308375613
2010,3,308565817
2010,4,308758105
2010,5,308951634
2010,6,309139874
2010,7,309349689
2010,7,309347057
2010,8,309572948
2010,9,309812108
2010,10,310049791
2010,11,310246263
2010,12,310432082
2011,1,310633980
2011,2,310800165
2011,3,310950433
2011,4,311139067
2011,5,311324992
2011,6,311504336
2011,7,311721632
2011,8,311938949
2011,9,312181676
2011,10,312401673
2011,11,312600790
2011,12,312801643
2012,1,313009682
2012,2,313165578
2012,3,313354770
2012,4,313535358
2012,5,313708483
2012,6,313905787
2012,7,314112078
2012,8,314344006
2012,9,314592063
2012,10,314821485
2012,11,315032475
2012,12,315223904
2013,1,315401356
2013,2,315564090
2013,3,315737322
2013,4,315924927
2013,5,316079541
2013,6,316291699
2013,7,316497531
2013,8,316707122
2013,9,316947993
2013,10,317173448
2013,11,317398102
2013,12,317583693
2014,1,317756435
2014,2,317931499
2014,3,318097647
2014,4,318273574
2014,5,318455292
2014,6,318652578
2014,7,318857056
2014,8,319077915
2014,9,319311629
2014,10,319528204
2014,11,319737195
2014,12,319925152
2015,1,320090632
2015,2,320258360
2015,3,320430996
2015,4,320610768
2015,5,320786438
2015,6,320985800
2015,7,321191461
2015,8,321412319
2015,9,321646034
2015,10,321862610
2015,11,322071600
2015,12,322259557
2016,1,322447514
2016,2,322635471
2016,3,322823428
2016,4,323011385
2016,5,323199342
2016,6,323387299
2016,7,323575256
2016,8,323763213
2016,9,323951170
2016,10,324139127
2016,11,324327084
2016,12,324515041
